trip_id,start_time,end_time,headway_secs,exact_times
34127A694B2161,07:40:00,20:45:00,3600,1
34108A652B999,18:05:00,24:10:00,7200,1
34106A652B999,09:05:00,13:10:00,3600,1
33223A691B2156,07:30:00,24:15:00,1200,1
33223A691B2140,07:30:00,24:15:00,1200,1
33236A691B2156,07:30:00,24:15:00,1200,1
33236A691B2140,07:30:00,24:15:00,1200,1
33235A690B2226,07:30:00,23:15:00,1200,1
33235A690B2154,07:30:00,23:15:00,1200,1
33234A693B2225,07:30:00,22:15:00,1200,1
33217A688B2229,06:30:00,23:15:00,1200,1
33217A688B2159,06:30:00,23:15:00,1200,1
33217A688B2158,06:30:00,23:15:00,1200,1
33547A691B2156,07:20:00,24:15:00,600,0
33547A691B2140,07:20:00,24:15:00,600,0
33544A690B2226,07:20:00,23:15:00,600,0
33544A690B2154,07:20:00,23:15:00,600,0
33207A688B2229,06:20:00,23:15:00,600,0
33207A688B2159,06:20:00,23:15:00,600,0
33207A688B2158,06:20:00,23:15:00,600,0
33527A689B2230,06:20:00,24:15:00,600,0
33527A689B2228,06:20:00,24:15:00,600,0
33527A689B2227,06:20:00,24:15:00,600,0
33527A689B2224,06:20:00,24:15:00,600,0
33527A689B2162,06:20:00,24:15:00,600,0
33527A689B2160,06:20:00,24:15:00,600,0
33527A689B2157,06:20:00,24:15:00,600,0
33543A693B2225,07:20:00,22:15:00,600,0
33212A689B2230,06:30:00,24:15:00,1200,1
33212A689B2228,06:30:00,24:15:00,1200,1
33212A689B2227,06:30:00,24:15:00,1200,1
33212A689B2224,06:30:00,24:15:00,1200,1
33212A689B2162,06:30:00,24:15:00,1200,1
33212A689B2160,06:30:00,24:15:00,1200,1
33212A689B2157,06:30:00,24:15:00,1200,1
33218A689B2230,06:30:00,24:15:00,1200,1
33218A689B2228,06:30:00,24:15:00,1200,1
33218A689B2227,06:30:00,24:15:00,1200,1
33218A689B2224,06:30:00,24:15:00,1200,1
33218A689B2162,06:30:00,24:15:00,1200,1
33218A689B2160,06:30:00,24:15:00,1200,1
33218A689B2157,06:30:00,24:15:00,1200,1
33237A694B2161,07:30:00,21:15:00,1200,1
33227A693B2225,07:30:00,22:15:00,1200,1
33211A688B2229,06:30:00,23:15:00,1200,1
33211A688B2159,06:30:00,23:15:00,1200,1
33211A688B2158,06:30:00,23:15:00,1200,1
33238A692B2163,08:30:00,21:15:00,1200,1
33238A692B2141,08:30:00,21:15:00,1200,1
33238A692B2139,08:30:00,21:15:00,1200,1
33221A690B2226,07:30:00,23:15:00,1200,1
33221A690B2154,07:30:00,23:15:00,1200,1
33231A694B2161,07:30:00,21:15:00,1200,1
33225A692B2163,08:30:00,21:15:00,1200,1
33225A692B2141,08:30:00,21:15:00,1200,1
33225A692B2139,08:30:00,21:15:00,1200,1
33245A688B2229,06:30:00,23:15:00,1200,1
33245A688B2159,06:30:00,23:15:00,1200,1
33245A688B2158,06:30:00,23:15:00,1200,1
33247A689B2230,06:30:00,24:15:00,1200,1
33247A689B2228,06:30:00,24:15:00,1200,1
33247A689B2227,06:30:00,24:15:00,1200,1
33247A689B2224,06:30:00,24:15:00,1200,1
33247A689B2162,06:30:00,24:15:00,1200,1
33247A689B2160,06:30:00,24:15:00,1200,1
33247A689B2157,06:30:00,24:15:00,1200,1
33255A693B2225,07:30:00,22:15:00,1200,1
33248A690B2226,07:30:00,23:15:00,1200,1
33248A690B2154,07:30:00,23:15:00,1200,1
33250A691B2156,07:30:00,24:15:00,1200,1
33250A691B2140,07:30:00,24:15:00,1200,1
33256A694B2161,07:30:00,21:15:00,1200,1
33252A692B2163,08:30:00,21:15:00,1200,1
33252A692B2141,08:30:00,21:15:00,1200,1
33252A692B2139,08:30:00,21:15:00,1200,1
40315A689B2230,06:30:00,24:15:00,1200,1
40315A689B2228,06:30:00,24:15:00,1200,1
40315A689B2227,06:30:00,24:15:00,1200,1
40315A689B2224,06:30:00,24:15:00,1200,1
40315A689B2162,06:30:00,24:15:00,1200,1
40315A689B2160,06:30:00,24:15:00,1200,1
40315A689B2157,06:30:00,24:15:00,1200,1
33276A693B2225,07:30:00,22:15:00,1200,1
33268A689B2230,06:30:00,24:15:00,1200,1
33268A689B2228,06:30:00,24:15:00,1200,1
33268A689B2227,06:30:00,24:15:00,1200,1
33268A689B2224,06:30:00,24:15:00,1200,1
33268A689B2162,06:30:00,24:15:00,1200,1
33268A689B2160,06:30:00,24:15:00,1200,1
33268A689B2157,06:30:00,24:15:00,1200,1
33270A690B2226,07:30:00,23:15:00,1200,1
33270A690B2154,07:30:00,23:15:00,1200,1
33272A691B2156,07:30:00,24:15:00,1200,1
33272A691B2140,07:30:00,24:15:00,1200,1
33278A694B2161,07:30:00,21:15:00,1200,1
33274A692B2163,08:30:00,21:15:00,1200,1
33274A692B2141,08:30:00,21:15:00,1200,1
33274A692B2139,08:30:00,21:15:00,1200,1
40318A688B2229,06:30:00,23:15:00,1200,1
40318A688B2159,06:30:00,23:15:00,1200,1
40318A688B2158,06:30:00,23:15:00,1200,1
33298A688B2229,06:20:00,23:15:00,1200,1
33298A688B2159,06:20:00,23:15:00,1200,1
33298A688B2158,06:20:00,23:15:00,1200,1
33301A693B2225,07:30:00,22:15:00,1200,1
33308A690B2226,07:30:00,23:15:00,1200,1
33308A690B2154,07:30:00,23:15:00,1200,1
33297A691B2156,07:30:00,24:15:00,1200,1
33297A691B2140,07:30:00,24:15:00,1200,1
33303A694B2161,07:30:00,21:15:00,1200,1
33299A692B2163,08:30:00,21:15:00,1200,1
33299A692B2141,08:30:00,21:15:00,1200,1
33299A692B2139,08:30:00,21:15:00,1200,1
33314A689B2230,06:30:00,24:15:00,1200,1
33314A689B2228,06:30:00,24:15:00,1200,1
33314A689B2227,06:30:00,24:15:00,1200,1
33314A689B2224,06:30:00,24:15:00,1200,1
33314A689B2162,06:30:00,24:15:00,1200,1
33314A689B2160,06:30:00,24:15:00,1200,1
33314A689B2157,06:30:00,24:15:00,1200,1
33323A693B2225,07:30:00,22:15:00,1200,1
33317A690B2226,07:30:00,23:15:00,1200,1
33317A690B2154,07:30:00,23:15:00,1200,1
33319A691B2156,07:30:00,24:15:00,1200,1
33319A691B2140,07:30:00,24:15:00,1200,1
33325A694B2161,07:30:00,21:15:00,1200,1
33321A692B2163,08:30:00,21:15:00,1200,1
33321A692B2141,08:30:00,21:15:00,1200,1
33321A692B2139,08:30:00,21:15:00,1200,1
33335A689B2230,06:30:00,24:15:00,1200,1
33335A689B2228,06:30:00,24:15:00,1200,1
33335A689B2227,06:30:00,24:15:00,1200,1
33335A689B2224,06:30:00,24:15:00,1200,1
33335A689B2162,06:30:00,24:15:00,1200,1
33335A689B2160,06:30:00,24:15:00,1200,1
33335A689B2157,06:30:00,24:15:00,1200,1
33344A693B2225,07:30:00,22:15:00,1200,1
33338A690B2226,07:30:00,23:15:00,1200,1
33338A690B2154,07:30:00,23:15:00,1200,1
33340A691B2156,07:30:00,24:15:00,1200,1
33340A691B2140,07:30:00,24:15:00,1200,1
33346A694B2161,07:30:00,21:15:00,1200,1
33342A692B2163,08:30:00,21:15:00,1200,1
33342A692B2141,08:30:00,21:15:00,1200,1
33342A692B2139,08:30:00,21:15:00,1200,1
33356A688B2229,06:30:00,23:15:00,1200,1
33356A688B2159,06:30:00,23:15:00,1200,1
33356A688B2158,06:30:00,23:15:00,1200,1
33366A693B2225,07:30:00,22:15:00,1200,1
33360A690B2226,07:30:00,23:15:00,1200,1
33360A690B2154,07:30:00,23:15:00,1200,1
33362A691B2156,07:30:00,24:15:00,1200,1
33362A691B2140,07:30:00,24:15:00,1200,1
33370A694B2161,07:30:00,21:15:00,1200,1
33364A692B2163,08:30:00,21:15:00,1200,1
33364A692B2141,08:30:00,21:15:00,1200,1
33364A692B2139,08:30:00,21:15:00,1200,1
33380A689B2230,06:30:00,24:15:00,1200,1
33380A689B2228,06:30:00,24:15:00,1200,1
33380A689B2227,06:30:00,24:15:00,1200,1
33380A689B2224,06:30:00,24:15:00,1200,1
33380A689B2162,06:30:00,24:15:00,1200,1
33380A689B2160,06:30:00,24:15:00,1200,1
33380A689B2157,06:30:00,24:15:00,1200,1
33389A693B2225,07:30:00,22:15:00,1200,1
33383A690B2226,07:30:00,23:15:00,1200,1
33383A690B2154,07:30:00,23:15:00,1200,1
33385A691B2156,07:30:00,24:15:00,1200,1
33385A691B2140,07:30:00,24:15:00,1200,1
33391A694B2161,07:30:00,21:15:00,1200,1
33387A692B2163,08:30:00,21:15:00,1200,1
33387A692B2141,08:30:00,21:15:00,1200,1
33387A692B2139,08:30:00,21:15:00,1200,1
33402A692B2163,08:30:00,21:15:00,1200,1
33402A692B2141,08:30:00,21:15:00,1200,1
33402A692B2139,08:30:00,21:15:00,1200,1
33411A693B2225,07:30:00,22:15:00,1200,1
