route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,trip_bikes_allowed,bikes_allowed
995,689A2230,33507A689B2230,"","",,,0,0,0
982,688A2159,33217A688B2159,"","[Loop Route]",,,1,0,0
984,688A2159,40307A688B2159,"","",,,2,0,0
986,694A2161,33324A694B2161,"","",,,3,0,0
995,689A2224,34158A689B2224,"","[Loop Route]",,,4,0,0
994,689A2157,34144A689B2157,"","",,,5,0,0
1025,689A2160,34122A689B2160,"","",,,6,0,0
1016,652A999,33208A652B999,"","Disneyland Resort",0,,7,0,0
995,693A2225,34160A693B2225,"","",,,8,0,0
981,694A2161,33204A694B2161,"","",,,9,0,0
991,692A2141,33441A692B2141,"","",,,10,0,0
991,689A2228,33424A689B2228,"","",,,11,0,0
988,689A2162,33372A689B2162,"","",,,12,0,0
982,689A2230,33218A689B2230,"","[Loop Route]",,,1,0,0
987,689A2162,33335A689B2162,"","",,,13,0,0
989,692A2163,33399A692B2163,"","",,,14,0,0
994,691A2140,34150A691B2140,"","",,,5,0,0
982,691A2140,33241A691B2140,"","",,,15,0,0
991,689A2160,33423A689B2160,"","[Loop Route]",,,16,0,0
988,691A2140,33361A691B2140,"","",,,17,0,0
984,689A2224,33267A689B2224,"","",,,2,0,0
984,690A2154,33269A690B2154,"","",,,2,0,0
984,691A2156,33287A691B2156,"","",,,18,0,0
981,692A2163,33198A692B2163,"","",,,19,0,0
983,688A2158,33245A688B2158,"","[Loop Route]",,,20,0,0
984,691A2156,33272A691B2156,"","[Loop Route]",,,21,0,0
987,688A2158,40320A688B2158,"","",,,22,0,0
983,691A2140,33250A691B2140,"","[Loop Route]",,,20,0,0
992,690A2154,33447A690B2154,"","[Loop Route]",,,23,0,0
989,689A2230,33394A689B2230,"","",,,14,0,0
994,689A2224,33486A689B2224,"","[Loop Route]",,,24,0,0
989,688A2229,33393A688B2229,"","",,,25,0,0
992,693A2225,33455A693B2225,"","[Loop Route]",,,23,0,0
994,688A2158,33485A688B2158,"","",,,5,0,0
986,689A2157,33327A689B2157,"","",,,3,0,0
995,689A2227,34158A689B2227,"","[Loop Route]",,,4,0,0
993,689A2160,33466A689B2160,"","",,,26,0,0
993,690A2154,34134A690B2154,"","",,,26,0,0
991,688A2229,40330A688B2229,"","[Loop Route]",,,16,0,0
982,689A2230,33233A689B2230,"","",,,27,0,0
982,692A2141,33224A692B2141,"","",,,15,0,0
989,692A2163,33386A692B2163,"","",,,25,0,0
993,689A2160,34130A689B2160,"","[Loop Route]",,,28,0,0
983,689A2160,33246A689B2160,"","",,,29,0,0
996,690A2154,33544A690B2154,"","[Loop Route]",,,30,0,0
984,689A2227,33267A689B2227,"","",,,2,0,0
985,690A2154,33308A690B2154,"","[Loop Route]",,,31,0,0
996,689A2162,33527A689B2162,"","[Loop Route]",,,30,0,0
985,691A2140,33309A691B2140,"","",,,32,0,0
993,691A2140,34139A691B2140,"","",,,33,0,0
989,694A2161,33398A694B2161,"","",,,14,0,0
985,694A2161,33303A694B2161,"","[Loop Route]",,,31,0,0
989,691A2140,33384A691B2140,"","",,,25,0,0
994,689A2162,34145A689B2162,"","",,,34,0,0
993,692A2141,34140A692B2141,"","[Loop Route]",,,28,0,0
986,692A2139,33321A692B2139,"","[Loop Route]",,,35,0,0
990,690A2154,33405A690B2154,"","[Loop Route]",,,36,0,0
990,689A2162,40348A689B2162,"","[Loop Route]",,,36,0,0
994,689A2227,33486A689B2227,"","[Loop Route]",,,24,0,0
994,690A2154,34148A690B2154,"","",,,5,0,0
995,690A2226,34162A690B2226,"","",,,8,0,0
990,688A2158,40327A688B2158,"","[Loop Route]",,,36,0,0
984,689A2228,33280A689B2228,"","",,,18,0,0
987,692A2139,33342A692B2139,"","[Loop Route]",,,13,0,0
989,690A2226,33396A690B2226,"","",,,14,0,0
990,689A2228,33403A689B2228,"","",,,37,0,0
986,691A2140,33318A691B2140,"","",,,38,0,0
993,690A2226,34135A690B2226,"","",,,33,0,0
988,690A2154,33359A690B2154,"","",,,12,0,0
992,689A2224,33457A689B2224,"","",,,39,0,0
995,690A2154,34163A690B2154,"","",,,40,0,0
990,691A2156,33418A691B2156,"","",,,41,0,0
992,691A2140,33449A691B2140,"","[Loop Route]",,,23,0,0
988,689A2162,33358A689B2162,"","",,,17,0,0
995,689A2228,34159A689B2228,"","",,,40,0,0
984,689A2162,33268A689B2162,"","[Loop Route]",,,21,0,0
981,689A2157,33192A689B2157,"","",,,9,0,0
985,689A2157,33293A689B2157,"","",,,42,0,0
991,689A2160,33436A689B2160,"","",,,10,0,0
984,693A2225,33281A693B2225,"","",,,18,0,0
992,689A2162,33445A689B2162,"","",,,43,0,0
991,692A2139,33429A692B2139,"","",,,11,0,0
996,691A2140,33547A691B2140,"","[Loop Route]",,,30,0,0
988,689A2157,40346A689B2157,"","[Loop Route]",,,44,0,0
986,690A2154,33316A690B2154,"","",,,38,0,0
992,694A2161,33453A694B2161,"","[Loop Route]",,,23,0,0
988,692A2139,33364A692B2139,"","[Loop Route]",,,44,0,0
992,691A2156,33460A691B2156,"","",,,39,0,0
986,689A2230,33314A689B2230,"","[Loop Route]",,,35,0,0
984,692A2141,33273A692B2141,"","",,,2,0,0
995,692A2163,33514A692B2163,"","",,,8,0,0
984,690A2154,33282A690B2154,"","",,,18,0,0
996,688A2158,33207A688B2158,"","[Loop Route]",,,30,0,0
992,689A2227,33457A689B2227,"","",,,39,0,0
982,690A2226,33240A690B2226,"","",,,27,0,0
988,688A2159,33371A688B2159,"","",,,12,0,0
983,692A2141,33252A692B2141,"","[Loop Route]",,,20,0,0
987,689A2230,33348A689B2230,"","[Loop Route]",,,22,0,0
990,688A2229,40326A688B2229,"","",,,37,0,0
983,689A2230,33259A689B2230,"","",,,45,0,0
985,691A2156,33297A691B2156,"","[Loop Route]",,,31,0,0
991,691A2140,33428A691B2140,"","[Loop Route]",,,16,0,0
988,693A2225,33373A693B2225,"","",,,12,0,0
989,694A2161,33391A694B2161,"","[Loop Route]",,,46,0,0
984,692A2163,33274A692B2163,"","[Loop Route]",,,21,0,0
995,688A2229,34156A688B2229,"","[Loop Route]",,,4,0,0
985,689A2228,33306A689B2228,"","",,,32,0,0
981,692A2141,33199A692B2141,"","",,,9,0,0
983,690A2154,33248A690B2154,"","[Loop Route]",,,20,0,0
981,689A2230,33193A689B2230,"","",,,19,0,0
993,689A2162,34131A689B2162,"","",,,33,0,0
982,692A2139,33243A692B2139,"","",,,27,0,0
986,691A2156,33318A691B2156,"","",,,38,0,0
990,689A2230,40348A689B2230,"","[Loop Route]",,,36,0,0
981,688A2158,33190A688B2158,"","",,,9,0,0
994,689A2230,34145A689B2230,"","",,,34,0,0
998,722A999,34103A722B999,"","",,,47,0,0
993,692A2163,34140A692B2163,"","[Loop Route]",,,28,0,0
992,694A2161,33461A694B2161,"","",,,39,0,0
983,688A2159,33258A688B2159,"","",,,45,0,0
1025,688A2229,34121A688B2229,"","",,,6,0,0
996,689A2230,33527A689B2230,"","[Loop Route]",,,30,0,0
982,688A2158,33216A688B2158,"","",,,15,0,0
994,689A2157,33486A689B2157,"","[Loop Route]",,,24,0,0
991,694A2161,33440A694B2161,"","",,,10,0,0
987,692A2139,33341A692B2139,"","",,,22,0,0
995,689A2157,34158A689B2157,"","[Loop Route]",,,4,0,0
994,689A2224,34144A689B2224,"","",,,5,0,0
986,689A2227,33327A689B2227,"","",,,3,0,0
986,690A2154,33317A690B2154,"","[Loop Route]",,,35,0,0
987,688A2229,40345A688B2229,"","[Loop Route]",,,13,0,0
993,688A2229,33463A688B2229,"","",,,26,0,0
995,690A2154,33510A690B2154,"","[Loop Route]",,,4,0,0
982,689A2162,33233A689B2162,"","",,,27,0,0
982,692A2163,33224A692B2163,"","",,,15,0,0
989,692A2141,33386A692B2141,"","",,,25,0,0
993,689A2228,33466A689B2228,"","",,,26,0,0
988,688A2159,33356A688B2159,"","[Loop Route]",,,44,0,0
992,691A2156,33449A691B2156,"","[Loop Route]",,,23,0,0
995,692A2139,34168A692B2139,"","[Loop Route]",,,4,0,0
990,691A2140,33418A691B2140,"","",,,41,0,0
984,689A2157,33267A689B2157,"","",,,2,0,0
985,688A2158,33298A688B2158,"","",,,32,0,0
993,689A2228,34130A689B2228,"","[Loop Route]",,,28,0,0
983,689A2228,33246A689B2228,"","",,,29,0,0
989,688A2229,33392A688B2229,"","",,,14,0,0
992,690A2154,33446A690B2154,"","",,,43,0,0
992,691A2140,33460A691B2140,"","",,,39,0,0
985,688A2159,33295A688B2159,"","",,,32,0,0
984,693A2225,33276A693B2225,"","[Loop Route]",,,21,0,0
989,689A2162,33394A689B2162,"","",,,14,0,0
992,688A2158,40332A688B2158,"","[Loop Route]",,,23,0,0
981,692A2139,33238A692B2139,"","[Loop Route]",,,48,0,0
981,692A2141,33198A692B2141,"","",,,19,0,0
996,691A2156,33547A691B2156,"","[Loop Route]",,,30,0,0
984,693A2225,33275A693B2225,"","",,,2,0,0
982,690A2226,33221A690B2226,"","[Loop Route]",,,1,0,0
996,693A2225,33543A693B2225,"","[Loop Route]",,,30,0,0
991,693A2225,33432A693B2225,"","[Loop Route]",,,16,0,0
986,689A2224,33327A689B2224,"","",,,3,0,0
994,689A2227,34144A689B2227,"","",,,5,0,0
991,689A2160,33424A689B2160,"","",,,11,0,0
982,689A2162,33218A689B2162,"","[Loop Route]",,,1,0,0
987,689A2230,33335A689B2230,"","",,,13,0,0
989,692A2141,33399A692B2141,"","",,,14,0,0
1025,689A2228,34122A689B2228,"","",,,6,0,0
994,688A2159,34142A688B2159,"","[Loop Route]",,,24,0,0
986,688A2159,40317A688B2159,"","",,,38,0,0
991,692A2163,33441A692B2163,"","",,,10,0,0
988,689A2230,33372A689B2230,"","",,,12,0,0
981,694A2161,33237A694B2161,"","[Loop Route]",,,48,0,0
991,689A2228,33423A689B2228,"","[Loop Route]",,,16,0,0
995,689A2162,33507A689B2162,"","",,,8,0,0
982,692A2139,33225A692B2139,"","[Loop Route]",,,1,0,0
985,691A2140,33297A691B2140,"","[Loop Route]",,,31,0,0
991,691A2156,33428A691B2156,"","[Loop Route]",,,16,0,0
995,688A2159,33506A688B2159,"","",,,8,0,0
992,689A2157,33457A689B2157,"","",,,39,0,0
981,689A2162,33193A689B2162,"","",,,19,0,0
993,689A2230,34131A689B2230,"","",,,33,0,0
994,691A2156,34150A691B2156,"","",,,5,0,0
982,691A2156,33241A691B2156,"","",,,15,0,0
984,692A2141,33274A692B2141,"","[Loop Route]",,,21,0,0
981,692A2163,33199A692B2163,"","",,,9,0,0
988,691A2156,33361A691B2156,"","",,,17,0,0
995,693A2225,33516A693B2225,"","[Loop Route]",,,4,0,0
987,689A2162,33348A689B2162,"","[Loop Route]",,,22,0,0
981,689A2224,33192A689B2224,"","",,,9,0,0
992,692A2139,33450A692B2139,"","",,,43,0,0
983,689A2162,33259A689B2162,"","",,,45,0,0
988,693A2225,33366A693B2225,"","[Loop Route]",,,44,0,0
1025,690A2226,34123A690B2226,"","",,,6,0,0
991,693A2225,33431A693B2225,"","",,,11,0,0
985,689A2224,33293A689B2224,"","",,,42,0,0
983,692A2163,33252A692B2163,"","[Loop Route]",,,20,0,0
985,689A2160,33306A689B2160,"","",,,32,0,0
987,688A2229,33354A688B2229,"","",,,49,0,0
983,691A2156,33250A691B2156,"","[Loop Route]",,,20,0,0
992,688A2158,40331A688B2158,"","",,,43,0,0
990,690A2154,33404A690B2154,"","",,,37,0,0
996,692A2139,33532A692B2139,"","[Loop Route]",,,30,0,0
993,694A2161,34137A694B2161,"","[Loop Route]",,,28,0,0
991,689A2228,33436A689B2228,"","",,,10,0,0
984,692A2163,33273A692B2163,"","",,,2,0,0
995,692A2141,33514A692B2141,"","",,,8,0,0
986,689A2162,33314A689B2162,"","[Loop Route]",,,35,0,0
988,689A2227,40346A689B2227,"","[Loop Route]",,,44,0,0
988,688A2229,40321A688B2229,"","",,,17,0,0
984,691A2140,33287A691B2140,"","",,,18,0,0
984,691A2140,33272A691B2140,"","[Loop Route]",,,21,0,0
992,689A2230,33445A689B2230,"","",,,43,0,0
992,688A2159,33456A688B2159,"","",,,39,0,0
995,689A2160,34159A689B2160,"","",,,40,0,0
984,689A2230,33268A689B2230,"","[Loop Route]",,,21,0,0
984,688A2159,40310A688B2159,"","[Loop Route]",,,21,0,0
997,652A999,33955A652B999,"","",,,50,0,0
981,689A2227,33192A689B2227,"","",,,9,0,0
988,689A2230,33358A689B2230,"","",,,17,0,0
989,693A2225,33388A693B2225,"","",,,25,0,0
994,690A2226,33489A690B2226,"","[Loop Route]",,,24,0,0
985,689A2227,33293A689B2227,"","",,,42,0,0
994,694A2161,34153A694B2161,"","",,,34,0,0
986,690A2154,33329A690B2154,"","",,,3,0,0
989,691A2156,33384A691B2156,"","",,,25,0,0
994,694A2161,34152A694B2161,"","",,,5,0,0
988,689A2224,40346A689B2224,"","[Loop Route]",,,44,0,0
998,722A999,34101A722B999,"","",,,51,0,0
984,689A2160,33280A689B2160,"","",,,18,0,0
