service_id,service_name,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
722A999,"Mon-Sun (Route 19 only)",1,1,1,1,1,1,1,20130101,20150101
652A999,"Mon-Sun ",1,1,1,1,1,1,1,20130101,20150101
692A2139,"Disney Hours 10-9",1,1,1,1,1,1,1,20141112,20141113
691A2140,"Disney Hours 9-12",1,1,1,1,1,1,1,20141114,20141116
692A2141,"Disney Hours 10-9",1,1,1,1,1,1,1,20141117,20141119
690A2154,"Disney Hours 9-11",1,1,1,1,1,1,1,20141121,20141121
691A2156,"Disney Hours 9-12",1,1,1,1,1,1,1,20141122,20141122
689A2157,"Disney Hours 8-12",1,1,1,1,1,1,1,20141123,20141126
688A2158,"Disney Hours 8-11",1,1,1,1,1,1,1,20141127,20141128
688A2159,"Disney Hours 8-11",1,1,1,1,1,1,1,20141130,20141130
689A2160,"Disney Hours 8-12",1,1,1,1,1,1,1,20141129,20141129
694A2161,"Disney Hours 9-9",1,1,1,1,1,1,1,20141201,20141204
689A2162,"Disney Hours 8-12",1,1,1,1,1,1,1,20141205,20141206
692A2163,"Disney Hours 10-9",1,1,1,1,1,1,1,20141120,20141120
689A2224,"Disney Hours 8-12",1,1,1,1,1,1,1,20141207,20141207
693A2225,"Disney Hours 9-10",1,1,1,1,1,1,1,20141208,20141210
690A2226,"Disney Hours 9-11",1,1,1,1,1,1,1,20141211,20141211
689A2227,"Disney Hours 8-12",1,1,1,1,1,1,1,20141212,20141213
689A2228,"Disney Hours 8-12",1,1,1,1,1,1,1,20141214,20141218
688A2229,"Disney Hours 8-11",1,1,1,1,1,1,1,20141219,20141219
689A2230,"Disney Hours 8-12",1,1,1,1,1,1,1,20141220,20141220
