trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
73770A1316B2364,0:00:00,0:00:00,778148,1,"",0,0,
73770A1316B2364,0:04:00,0:04:00,780166,2,"",0,0,
73770A1316B2364,0:15:00,0:15:00,778185,3,"",0,0,
73770A1316B2364,0:19:00,0:19:00,778186,4,"",0,0,
73770A1316B2364,0:24:00,0:24:00,778187,5,"",0,0,
73770A1316B2364,0:34:00,0:34:00,778148,6,"",0,0,
73770A1316B2362,0:00:00,0:00:00,778148,1,"",0,0,
73770A1316B2362,0:04:00,0:04:00,780166,2,"",0,0,
73770A1316B2362,0:15:00,0:15:00,778185,3,"",0,0,
73770A1316B2362,0:19:00,0:19:00,778186,4,"",0,0,
73770A1316B2362,0:24:00,0:24:00,778187,5,"",0,0,
73770A1316B2362,0:34:00,0:34:00,778148,6,"",0,0,
87504A1316B2362,00:00:00,00:00:00,778148,1,"",0,0,
87504A1316B2362,00:19:00,00:19:00,780772,2,"",0,0,
87504A1316B2362,00:38:00,00:38:00,778148,3,"",0,0,
87504A1316B2364,00:00:00,00:00:00,778148,1,"",0,0,
87504A1316B2364,00:19:00,00:19:00,780772,2,"",0,0,
87504A1316B2364,00:38:00,00:38:00,778148,3,"",0,0,
73740A1315B2363,00:00:00,00:00:00,778148,1,"",0,0,0
73740A1315B2363,00:06:00,00:06:00,780166,2,"",0,0,0.47345608848215
73740A1315B2363,00:15:00,00:15:00,780164,3,"",0,0,2.7520752978985
73740A1315B2363,00:21:00,00:21:00,780158,4,"",0,0,7.1330152094812
73740A1315B2363,00:24:00,00:24:00,778180,5,"",0,0,13.128907889061
73740A1315B2363,00:31:00,00:31:00,778213,6,"",0,0,15.251139878683
73740A1315B2363,00:37:00,00:37:00,778148,7,"",0,0,7815.1336125199
73810A1315B2363,00:00:00,00:00:00,778148,1,"",0,0,0
73810A1315B2363,00:06:00,00:06:00,780166,2,"",0,0,0.47345608848215
73810A1315B2363,00:10:00,00:10:00,778205,3,"",0,0,2.7816138905812
73810A1315B2363,00:12:00,00:12:00,780761,4,"",0,0,3.9898478516534
73810A1315B2363,00:21:00,00:21:00,778148,5,"",0,0,7802.9772551086
73471A1316B2361,0:00:00,0:00:00,778148,1,"",0,0,
73471A1316B2361,0:06:00,0:06:00,780166,2,"",0,0,
73471A1316B2361,0:10:00,0:10:00,778205,3,"",0,0,
73471A1316B2361,0:12:00,0:12:00,780761,4,"",0,0,
73471A1316B2361,0:21:00,0:21:00,778148,5,"",0,0,
87491A1313B2338,07:00:00,07:00:00,778216,1,"",0,0,0
87491A1313B2338,07:06:00,07:06:00,780157,2,"",0,0,0.38865323452456
87491A1313B2338,07:15:00,07:15:00,778217,3,"",0,0,3.1671302447647
87491A1313B2338,07:22:00,07:22:00,778219,4,"",0,0,5.3236337519689
87491A1313B2338,07:24:00,07:24:00,778221,5,"",0,0,5.7883811383376
87491A1313B2338,07:30:00,07:30:00,778223,6,"",0,0,7.1477668236718
87491A1313B2338,07:43:00,07:43:00,778148,7,"",0,0,7805.9775287989
87492A1313B2338,7:50:00,7:50:00,778216,1,"",0,0,
87492A1313B2338,7:56:00,7:56:00,780157,2,"",0,0,
87492A1313B2338,8:05:00,8:05:00,778217,3,"",0,0,
87492A1313B2338,8:12:00,8:12:00,778219,4,"",0,0,
87492A1313B2338,8:16:00,8:16:00,778221,5,"",0,0,
87492A1313B2338,8:22:00,8:22:00,778223,6,"",0,0,
87492A1313B2338,8:35:00,8:35:00,778148,7,"",0,0,
73494A1316B2364,0:00:00,0:00:00,778148,1,"",0,0,
73494A1316B2364,0:04:30,0:04:30,778154,2,"",0,0,
73494A1316B2364,0:06:10,0:06:10,778155,3,"",0,0,
