trip_id,start_time,end_time,headway_secs,exact_times
73493A1315B2363,06:30:00,23:30:59,1200,0
73792A1315B2363,06:30:00,23:30:59,1200,0
73804A1315B2363,06:30:00,23:30:59,1200,0
73754A1315B2363,06:30:00,23:30:59,1800,0
73770A1316B2364,06:30:00,24:30:59,3600,0
73770A1316B2362,06:30:00,24:30:59,3600,0
73770A1316B2361,06:30:00,24:30:59,3600,0
73718A1313B2338,09:00:00,11:00:59,3600,0
87497A1315B2363,08:20:00,21:15:59,600,0
73521A1315B2363,06:30:00,23:30:59,1200,0
73795A1316B2364,06:30:00,24:30:59,1200,0
73795A1316B2362,06:30:00,24:30:59,1200,0
73795A1316B2361,06:30:00,24:30:59,1200,0
73494A1316B2364,06:30:00,24:30:59,1200,0
73494A1316B2362,06:30:00,24:30:59,1200,0
73494A1316B2361,06:30:00,24:30:59,1200,0
73462A1316B2364,06:30:00,24:30:59,1200,0
73462A1316B2362,06:30:00,24:30:59,1200,0
73462A1316B2361,06:30:00,24:30:59,1200,0
73441A1316B2364,06:30:00,24:30:59,1200,0
73441A1316B2362,06:30:00,24:30:59,1200,0
73441A1316B2361,06:30:00,24:30:59,1200,0
73616A1315B2363,06:30:00,23:30:59,1200,0
73807A1315B2363,06:30:00,23:30:59,1800,0
73827A1315B2363,06:30:00,23:30:59,1200,0
73468A1316B2364,06:30:00,24:30:59,1200,0
73468A1316B2362,06:30:00,24:30:59,1200,0
73468A1316B2361,06:30:00,24:30:59,1200,0
73472A1316B2364,06:30:00,24:30:59,1800,0
73472A1316B2362,06:30:00,24:30:59,1800,0
73472A1316B2361,06:30:00,24:30:59,1800,0
73718A1313B2338,16:00:00,18:00:59,3600,0
87498A1316B2364,08:20:00,21:15:59,600,0
87498A1316B2362,08:20:00,21:15:59,600,0
87498A1316B2361,08:20:00,21:15:59,600,0
73822A1315B2363,06:30:00,23:30:59,1200,0
73823A1316B2364,06:30:00,24:30:59,1200,0
73823A1316B2362,06:30:00,24:30:59,1200,0
73823A1316B2361,06:30:00,24:30:59,1200,0
73825A1316B2364,06:30:00,24:30:59,1800,0
73825A1316B2362,06:30:00,24:30:59,1800,0
73825A1316B2361,06:30:00,24:30:59,1800,0
73470A1316B2364,06:30:00,24:30:59,1200,0
73470A1316B2362,06:30:00,24:30:59,1200,0
73470A1316B2361,06:30:00,24:30:59,1200,0
73810A1315B2363,06:30:00,23:30:59,1200,0
73740A1315B2363,06:30:00,23:30:59,1800,0
73448A1314B2338,11:00:00,17:00:59,10800,0
73497A1315B2363,06:30:00,23:30:59,1200,0
73798A1315B2363,06:30:00,23:30:59,1200,0
73466A1316B2364,06:30:00,24:30:59,1200,0
73466A1316B2362,06:30:00,24:30:59,1200,0
73466A1316B2361,06:30:00,24:30:59,1200,0
73471A1316B2364,06:30:00,24:30:59,1200,0
73471A1316B2362,06:30:00,24:30:59,1200,0
73471A1316B2361,06:30:00,24:30:59,1200,0
73768A1315B2363,06:30:00,23:30:59,3600,0
73564A1315B2363,06:30:00,23:30:59,1200,0
73465A1316B2364,06:30:00,24:30:59,1200,0
73465A1316B2362,06:30:00,24:30:59,1200,0
73465A1316B2361,06:30:00,24:30:59,1200,0
73742A1316B2364,06:30:00,24:30:59,1800,0
73742A1316B2362,06:30:00,24:30:59,1800,0
73742A1316B2361,06:30:00,24:30:59,1800,0
73461A1316B2364,06:30:00,24:30:59,1200,0
73461A1316B2362,06:30:00,24:30:59,1200,0
73461A1316B2361,06:30:00,24:30:59,1200,0
