route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,trip_bikes_allowed,bikes_allowed
1710,1316A2364,73770A1316B2364,"","Disneyland Resort",,,0,0,0
1710,1316A2362,73770A1316B2362,"","Disneyland Resort",,,1,0,0
1716,1316A2362,87504A1316B2362,"","Disneyland Resort",,,,1,1
1716,1316A2364,87504A1316B2364,"","Disneyland Resort",,,,1,1
1708,1315A2363,73740A1315B2363,"","Disneyland Resort",,,2,0,0
1707,1315A2363,73810A1315B2363,"","Disneyland Resort",,,3,0,0
1707,1316A2361,73471A1316B2361,"","Disneyland Resort",,,3,0,0
1714,1313A2338,87491A1313B2338,"","Disneyland Resort",0,,4,0,0
1714,1313A2338,87492A1313B2338,"","Disneyland Resort",0,,4,0,0
1696,1316A2364,73494A1316B2364,"","Disneyland Resort",,,5,0,0
1696,1316A2362,73494A1316B2362,"","Disneyland Resort",,,5,0,0
1703,1316A2361,73823A1316B2361,"","Disneyland Resort",,,6,0,0
1708,1316A2364,73742A1316B2364,"","Disneyland Resort",,,2,0,0
1698,1316A2364,73462A1316B2364,"","Disneyland Resort",,,7,0,0
1698,1316A2362,73462A1316B2362,"","Disneyland Resort",,,7,0,0
1708,1316A2362,73742A1316B2362,"","Disneyland Resort",,,2,0,0
1702,1316A2361,73466A1316B2361,"","Disneyland Resort",,,8,0,0
1712,1313A2338,73718A1313B2338,"","",,,9,0,0
1709,1316A2362,73472A1316B2362,"","Disneyland Resort",,,10,0,0
1709,1316A2364,73472A1316B2364,"","Disneyland Resort",,,10,0,0
1700,1316A2364,73795A1316B2364,"","Disneyland Resort",,,11,0,0
1700,1316A2362,73795A1316B2362,"","Disneyland Resort",,,11,0,0
1706,1316A2361,73470A1316B2361,"","Disneyland Resort",,,12,0,0
1710,1315A2363,73768A1315B2363,"","Disneyland Resort",,,1,0,0
1705,1316A2361,73825A1316B2361,"","Disneyland Resort",,,13,0,0
1705,1315A2363,73807A1315B2363,"","Disneyland Resort",,,13,0,0
1711,1316A2361,87498A1316B2361,"","[Loop Route]",,,,0,0
1704,1316A2361,73468A1316B2361,"","Disneyland Resort",,,14,0,0
1699,1316A2361,73441A1316B2361,"","Disneyland Resort",,,11,0,0
1701,1316A2364,73465A1316B2364,"","Disneyland Resort",,,15,0,0
1701,1316A2362,73465A1316B2362,"","Disneyland Resort",,,15,0,0
1701,1315A2363,73798A1315B2363,"","Disneyland Resort",,,15,0,0
1697,1316A2361,73461A1316B2361,"","Disneyland Resort",,,16,0,0
